Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/06/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,cbbda797-f254-53e0-bbd1-04e072f93b39
01/06/2024,11,15.4,Enami,SO2,Paipote,Pronosticada,74873ebe-3354-558b-95a2-b392394c3eb5
01/06/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,7150fe2a-b128-5118-990e-a89a2e8c2501
01/06/2024,13,3.7,Enami,SO2,Paipote,Pronosticada,c19eb7be-3811-5391-a188-27c1d66c2b01
01/06/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,71ec8e35-8a23-536a-bb2f-0f8b47388c89
01/06/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,0adb82c6-1101-52d2-a6b0-fc48f0710db5
01/06/2024,16,6.4,Enami,SO2,Paipote,Pronosticada,c2f59981-1934-51d6-ae4c-d3c55ae568a6
01/06/2024,17,3.3,Enami,SO2,Paipote,Pronosticada,e3e8b9a4-f463-5352-8127-f0c51878e0f1
01/06/2024,18,4.5,Enami,SO2,Paipote,Pronosticada,34df0f62-fab9-52e2-af17-50eb9060b165
01/06/2024,19,6.3,Enami,SO2,Paipote,Pronosticada,14dc184e-c6e0-598a-a796-33c0ae893431
01/06/2024,20,7.0,Enami,SO2,Paipote,Pronosticada,2564f98b-053c-5f38-88bc-6cd986fbacfe
01/06/2024,21,4.3,Enami,SO2,Paipote,Pronosticada,8761e238-a057-5b11-b13d-3d7d28e93c42
01/06/2024,22,4.9,Enami,SO2,Paipote,Pronosticada,8ce6ef61-83cf-517d-90de-2d7fa3bdba07
01/06/2024,23,4.4,Enami,SO2,Paipote,Pronosticada,dc51e859-42f1-5af6-9d4e-4864bf89fd0b
01/07/2024,0,6.1,Enami,SO2,Paipote,Pronosticada,f0edee61-d5d9-5e12-a87e-4852321975d0
01/07/2024,1,4.0,Enami,SO2,Paipote,Pronosticada,4b18ccef-14fc-5bc5-9954-5f69a2242406
01/07/2024,2,5.2,Enami,SO2,Paipote,Pronosticada,b846d4ea-33dc-59b9-8043-53f15c1037a7
01/07/2024,3,7.2,Enami,SO2,Paipote,Pronosticada,b095e93b-78d1-568a-9cfd-9108194153e1
01/07/2024,4,5.2,Enami,SO2,Paipote,Pronosticada,205a484c-8475-5fff-bfab-e01d60a48c93
01/07/2024,5,4.6,Enami,SO2,Paipote,Pronosticada,7669ad67-adcb-5424-b18b-3f3e95ac79fa
01/07/2024,6,9.0,Enami,SO2,Paipote,Pronosticada,e62d1deb-433c-576f-b512-7410d04fc5f4
01/07/2024,7,3.4,Enami,SO2,Paipote,Pronosticada,6edd5b41-4ff3-58f8-a65a-5c7c0cc3c7f5
01/07/2024,8,21.2,Enami,SO2,Paipote,Pronosticada,64d22f85-b1fd-5caf-abd7-a84e0d255d52
01/07/2024,9,18.5,Enami,SO2,Paipote,Pronosticada,fe80d3f8-8c4c-57dc-aa54-a2cf80ef3db4
01/07/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,48dfdaa7-101d-5679-a5b7-eb7134ef3348
01/07/2024,11,26.6,Enami,SO2,Paipote,Pronosticada,ddeda17a-3976-5a2d-be05-dc70e24e12f4
01/07/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,be4879c9-e657-5527-95a4-ef9054aaf7ca
01/07/2024,13,5.2,Enami,SO2,Paipote,Pronosticada,1a9dab77-17c9-57d8-9b85-562caa1493f1
01/07/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,2c4e8fc7-7617-5b42-a3fd-ce99959c5e5f
01/07/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,20fdcc1d-6177-5606-bcf0-6c8eff2a09af
01/07/2024,16,3.3,Enami,SO2,Paipote,Pronosticada,d827bac0-1cb3-569a-94ed-a00620eec990
01/07/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,4bc938fd-96f6-51ef-9fbe-2286650320af
01/07/2024,18,7.6,Enami,SO2,Paipote,Pronosticada,1fd1be1a-86e6-5818-b5cd-1094c1a3f224
01/07/2024,19,3.2,Enami,SO2,Paipote,Pronosticada,d89c6c2a-8266-5e9d-beae-0964616c8083
01/07/2024,20,3.8,Enami,SO2,Paipote,Pronosticada,2c336a8f-fea4-5918-95c0-a8a0c3ce5e68
01/07/2024,21,3.4,Enami,SO2,Paipote,Pronosticada,294692c8-08d3-5a85-8d5c-0a2a3332bb08
01/07/2024,22,7.6,Enami,SO2,Paipote,Pronosticada,b7900210-7e46-5f9e-b5a2-1f95f012c30c
01/07/2024,23,16.7,Enami,SO2,Paipote,Pronosticada,155c04f8-5516-5cf5-9aa9-4af32760f6b1
01/08/2024,0,21.7,Enami,SO2,Paipote,Pronosticada,8ae9d31e-14e0-5a7c-8336-3950c0a0fe3d
01/08/2024,1,7.1,Enami,SO2,Paipote,Pronosticada,9c7a58af-89b1-5704-a92f-95e0cdd444e7
01/08/2024,2,5.6,Enami,SO2,Paipote,Pronosticada,241275a5-01c8-5161-a0e6-7543533b068d
01/08/2024,3,5.1,Enami,SO2,Paipote,Pronosticada,9d29a813-0928-5e1f-9597-c508c0330198
01/08/2024,4,15.1,Enami,SO2,Paipote,Pronosticada,00979cd5-824b-5839-a4d4-3952a63ff070
01/08/2024,5,6.9,Enami,SO2,Paipote,Pronosticada,57e12808-5d06-516a-bb37-68cc4251b7fd
01/08/2024,6,12.6,Enami,SO2,Paipote,Pronosticada,064dc549-a653-5241-b57a-0eacda789263
01/08/2024,7,18.6,Enami,SO2,Paipote,Pronosticada,e70eb630-91d4-5c31-a623-001f0228f2cf
01/08/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,70fd6081-cbf8-57e2-bb60-f7df64540b9b
01/08/2024,9,10.5,Enami,SO2,Paipote,Pronosticada,e68662c4-303f-5b17-8de9-91cae84cc202
01/08/2024,10,8.0,Enami,SO2,Paipote,Pronosticada,9cf6096d-eb23-5438-8d95-023e9c9ed71c
01/08/2024,11,15.9,Enami,SO2,Paipote,Pronosticada,5f26e8f1-9cfa-5e69-a90a-f659cad4a51b
01/08/2024,12,7.6,Enami,SO2,Paipote,Pronosticada,2a005e75-12f3-5212-8994-5efb2559d3d9
01/08/2024,13,12.5,Enami,SO2,Paipote,Pronosticada,3ceb73a8-5f0d-5a63-aaed-c45ff831c9aa
01/08/2024,14,9.0,Enami,SO2,Paipote,Pronosticada,1cfd4971-16b3-548b-bee4-4d4f78249dff
01/08/2024,15,6.7,Enami,SO2,Paipote,Pronosticada,52ad4735-3a25-54ca-a9ef-766ef87bc106
01/08/2024,16,7.2,Enami,SO2,Paipote,Pronosticada,c55c5c8b-87b1-5cad-9efe-2b784ade2558
01/08/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,265b3544-2b6c-5c9c-9adf-aee0da2b0fe3
01/08/2024,18,6.2,Enami,SO2,Paipote,Pronosticada,c51c9652-8fe5-5086-9f1c-d5779aac1985
01/08/2024,19,6.9,Enami,SO2,Paipote,Pronosticada,4e1b911f-5cd7-5598-8cf3-6f6e86f665a7
01/08/2024,20,3.4,Enami,SO2,Paipote,Pronosticada,af1c6bcd-00bc-5d34-8661-fcf795ec79ad
01/08/2024,21,3.2,Enami,SO2,Paipote,Pronosticada,d3865601-ce44-5d2e-8122-fdbbaf340b2e
01/08/2024,22,4.2,Enami,SO2,Paipote,Pronosticada,e0104d77-e5c7-50f7-b3bf-aa52485b9aa8
01/08/2024,23,7.2,Enami,SO2,Paipote,Pronosticada,6ddac8fc-5256-5b86-ad54-897cf3bff50b
01/09/2024,0,3.5,Enami,SO2,Paipote,Pronosticada,5a6d81d3-105b-50cb-8c6f-ae19926ca4d5
01/09/2024,1,5.8,Enami,SO2,Paipote,Pronosticada,2b88013c-2e11-5ea4-b72c-8b1537e44722
01/09/2024,2,10.1,Enami,SO2,Paipote,Pronosticada,bf2242ab-93bd-552f-96c9-dd53704f757a
