Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/19/2023,6,74.7,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,7,79.2,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,8,130.8,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,9,75.8,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,10,41.2,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,11,87.6,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,12,32.3,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,13,30.1,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,14,17.7,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,16,23.1,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,18,83.6,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,19,44.9,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,20,47.2,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,21,54.8,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,22,83.2,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,23,44.7,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,0,80.6,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,1,27.1,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,2,13.8,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,3,54.0,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,4,14.9,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,5,38.0,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,6,26.0,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,7,33.8,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,8,80.0,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,9,75.8,Sierra Gorda,MP10,Sierra Gorda
05/20/2023,10,135.0,Sierra Gorda,MP10,Sierra Gorda
