"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"21/11/2023","2","61.2"
"21/11/2023","3","69.5"
"21/11/2023","4","50.8"
"21/11/2023","5","67.0"
"21/11/2023","6","151.6"
"21/11/2023","7","124.7"
"21/11/2023","8","150.6"
"21/11/2023","9","225.7"
"21/11/2023","10","94.8"
"21/11/2023","11","112.3"
"21/11/2023","12","138.5"
"21/11/2023","13","59.4"
"21/11/2023","14","86.6"
"21/11/2023","15","55.9"
"21/11/2023","16","50.5"
"21/11/2023","17","287.7"
"21/11/2023","18","164.9"
"21/11/2023","19","61.4"
"21/11/2023","20","41.7"
"21/11/2023","21","31.2"
"21/11/2023","22","67.5"
"21/11/2023","23","174.3"
"22/11/2023","0","99.0"
"22/11/2023","1","111.3"
"22/11/2023","2","80.0"
"22/11/2023","3","74.6"
"22/11/2023","4","64.4"
"22/11/2023","5","36.4"
"22/11/2023","6","50.1"
"22/11/2023","7","134.8"
"22/11/2023","8","155.2"
"22/11/2023","9","59.7"
"22/11/2023","10","82.6"
"22/11/2023","11","92.9"
"22/11/2023","12","79.0"
"22/11/2023","13","103.8"
"22/11/2023","14","118.9"
"22/11/2023","15","63.9"
"22/11/2023","16","72.9"
"22/11/2023","17","64.8"
"22/11/2023","18","231.5"
"22/11/2023","19","53.2"
"22/11/2023","20","34.0"
"22/11/2023","21","8.5"
"22/11/2023","22","19.8"
"22/11/2023","23","26.4"
"23/11/2023","0","74.4"
"23/11/2023","1","28.6"
"23/11/2023","2","25.7"
"23/11/2023","3","27.1"
"23/11/2023","4","90.2"
"23/11/2023","5","64.8"
"23/11/2023","6","45.4"
"23/11/2023","7","0.9"
"23/11/2023","8","1001.0"
"23/11/2023","9","135.8"
"23/11/2023","10","95.3"
"23/11/2023","11","68.3"
"23/11/2023","12","120.8"
"23/11/2023","13","112.8"
"23/11/2023","14","86.1"
"23/11/2023","15","72.4"
"23/11/2023","16","42.2"
"23/11/2023","17","73.2"
"23/11/2023","18","59.2"
"23/11/2023","19","60.9"
"23/11/2023","20","71.9"
"23/11/2023","21","11.6"
"23/11/2023","22","31.5"
"23/11/2023","23","12.4"
"24/11/2023","0","10.7"
"24/11/2023","1","12.6"
"24/11/2023","2","24.7"
"24/11/2023","3","15.5"
"24/11/2023","4","20.4"
"24/11/2023","5","17.4"
"24/11/2023","6","40.6"
"24/11/2023","7","89.0"
"24/11/2023","8","119.8"
"24/11/2023","9","124.4"
"24/11/2023","10","46.6"
"24/11/2023","11","111.3"
"24/11/2023","12","100.9"
"24/11/2023","13","57.7"
"24/11/2023","14","65.4"
"24/11/2023","15","43.0"
"24/11/2023","16","24.0"
"24/11/2023","17","67.3"
"24/11/2023","18","540.5"
"24/11/2023","19","114.5"
"24/11/2023","20","37.6"
"24/11/2023","21","46.7"
"24/11/2023","22","41.0"
"24/11/2023","23","16.7"
"25/11/2023","0","30.5"
"25/11/2023","1","32.8"
"25/11/2023","2","45.7"
"25/11/2023","3","52.8"
"25/11/2023","4","13.4"
"25/11/2023","5","51.1"
"25/11/2023","6","70.0"
"25/11/2023","7","151.8"
"25/11/2023","8","147.5"
"25/11/2023","9","128.4"
"25/11/2023","10","43.4"
"25/11/2023","11","79.2"
"25/11/2023","12","242.2"
"25/11/2023","13","174.6"
"25/11/2023","14","51.5"
"25/11/2023","15","27.6"
"25/11/2023","16","60.2"
"25/11/2023","17","49.8"
"25/11/2023","18","140.5"
"25/11/2023","19","46.6"
"25/11/2023","20","34.0"
"25/11/2023","21","41.0"
"25/11/2023","22","63.2"
"25/11/2023","23","50.8"
"26/11/2023","0","89.0"
"26/11/2023","1","75.8"
"26/11/2023","2","48.6"
"26/11/2023","3","24.5"
"26/11/2023","4","28.4"
"26/11/2023","5","42.0"
"26/11/2023","6","36.2"
"26/11/2023","7","118.9"
"26/11/2023","8","114.3"
"26/11/2023","9","109.1"
"26/11/2023","10","84.9"
"26/11/2023","11","93.2"
"26/11/2023","12","64.2"
"26/11/2023","13","40.1"
"26/11/2023","14","23.0"
"26/11/2023","15","19.6"
"26/11/2023","16","31.5"
"26/11/2023","17","141.0"
"26/11/2023","18","131.9"
"26/11/2023","19","59.2"
"26/11/2023","20","19.6"
"26/11/2023","21","40.3"
"26/11/2023","22","33.7"
"26/11/2023","23","47.2"
"27/11/2023","0","39.4"
"27/11/2023","1","43.2"
"27/11/2023","2","63.9"
"27/11/2023","3","64.1"
"27/11/2023","4","28.4"
"27/11/2023","5","40.8"
"27/11/2023","6","79.8"
"27/11/2023","7","137.5"
"27/11/2023","8","212.4"
"27/11/2023","9","128.1"
"27/11/2023","10","99.9"
"27/11/2023","11","97.1"
"27/11/2023","12","102.9"
"27/11/2023","13","64.4"
"27/11/2023","14","60.4"
"27/11/2023","15","51.0"
"27/11/2023","16","37.9"
"27/11/2023","17","283.3"
"27/11/2023","18","119.6"
"27/11/2023","19","65.1"
"27/11/2023","20","43.4"
"27/11/2023","21","26.2"
"27/11/2023","22","18.1"
"27/11/2023","23","31.5"
"28/11/2023","0","37.6"
"28/11/2023","1","13.3"
"28/11/2023","2","60.0"
"28/11/2023","3","65.8"
"28/11/2023","4","65.3"
"28/11/2023","5","49.6"
"28/11/2023","6","40.0"
"28/11/2023","7","201.4"
"28/11/2023","8","198.4"
"28/11/2023","9","103.5"
"28/11/2023","10","77.7"
"28/11/2023","11","73.9"
"28/11/2023","12","180.7"
"28/11/2023","13","69.0"
"28/11/2023","14","46.1"
"28/11/2023","15","39.1"
"28/11/2023","16","684.7"
"28/11/2023","17","217.7"
"28/11/2023","18","70.5"
"28/11/2023","19","246.9"
"28/11/2023","20","32.5"
